<new sheet>
sheet_name: Assets

Banking Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Assets, Rs. Mn",2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021*,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Gross FCY Loans(d),346154.005,372237.976,319183.649,325297.774,298380.413,271984.73655,270321.31142515,278393.9023213,298732.606582925,292203.37100000004,297369.75800000003,337898.572648,350266.30701169994,384656.5577655,382217.942864,448672.31259190006,499812.35948680004,562912.8693,556396.598722,556179.6470488,590782.0989071999,594111.8978798,603572.3183877,616837.4397809999,607668.4095472,640825.2877626,692727.402832,802487.277782,825885.1234,838860.4501,876292.5669891085,921945.3095140001,920882.2869000001,906486.4815000001,903036.7745933001,985074.7882000001,1062458.5955619998,1124431.90372,1113504.4081065,1149184.1522648,1242604.027645,1285901.0762364,1382809.0431907,1517172.7526388,1463061.7056126106,1486570.9368160001,1569964.3791935998,1623489.7525840001,1858877.5748676,1828383.0069355997,1814891.9678464003,1794608.7045988003,1880827.7080846997,1928903.7112095999,1909283.4885359001,1905983.0203518663
Gross Non-performing Advances(e),75436.91400000002,83494.60500000001,86837.903,87395.30000000002,106832.78999999998,118890.14855000001,120166.49442515001,115894.51732130001,119043.33758292501,107314.95300000001,100118.978,90313.153,93250.124,89440.40400000001,86946.74199999997,80862.39300000003,88934.47400000002,93302.364,100798.58399999997,96248.48700000002,111646.006,123748.336,137633.625,158896.79599999997,172839.631,166806.667,144580.569,123527.20599999999,134344.066,139342.053,139998.916,123371.422,124669.52900000002,123561.98099999997,124565.54000000005,118313.18999999999,129684.206,137079.892,141112.38000000006,133309.635,168954.95499999996,193823.178,227943.01299999998,229222.30799999996,285692.98000000004,324223.4550000001,340219.716,339546.58499999996,382997.061,413591.24600000004,417558.322,392848.591,393125.46499999997,422184.93499999994,428905.45000000007,408328.62399999995
Net Non-perfroming Advances(f),33455.04600000001,40536.146,43506.851,40706.397999999994,59353.511000000006,68181.79555000001,70172.59042515,60904.2633213,63947.41358292501,61199.139,55150.497,46641.723,50328.585,47416.144,45487.90199999999,39864.733,46529.320999999996,50203.14600000001,56757.63700000001,52454.41800000001,67344.106,74506.161,83794.302,102342.887,114101.37899999999,109667.161,87025.55900000001,64131.055,73451.35399999999,76546.153,75410.91500000001,55704.207,59442.81800000001,57574.350999999995,59223.15899999999,49122.92100000001,60402.39599999999,64207.609,64585.672000000006,59431.450000000004,89247.414,105948.842,133615.644,123978.83399999999,173710.41499999998,193814.15699999998,204082.13199999998,190966.70499999996,221010.31900000002,227325.44600000005,216438.651,178158.14,163304.62900000004,179574.09999999998,169620.23900000003,131064.43900000001
Total Loan Loss Provisions,50152.505,51963.136000000006,53331.399000000005,57576.847,59211.735,62213.71800000001,61008.037000000004,65887.92499999999,66510.55799999999,58067.149,57718.905,55827.986,54641.655999999995,53156.153999999995,52141.531,50652.141,52784.089,54618.47699999999,55516.264,56194.73,56794.76,63036.772,68597.432,70602.175,73024.51400000001,71087.621,72175.993,75939.542,77634.46100000001,80591.62,84399.99399999999,89524.708,88320.299,89590.486,89826.11499999999,95035.46100000001,96873.75899999999,101071.87299999999,105329.30799999999,103720.516,109666.114,118994.812,127159.135,139972.952,146134.06100000002,164150.59900000002,171336.252,183318.29200000002,200545.91799999995,232202.19300000003,243860.09799999997,254162.289,271518.702,287657.17899999995,307422.01100000006,328465.18499999994
o/w Specific Loan Loss Provisions,41981.867999999995,42958.459,43331.051999999996,46688.902,47479.279,50708.353,49993.904,54990.254,55095.924,46115.814,44968.481,43671.43000000001,42921.539000000004,42024.259999999995,41458.84,40997.659999999996,42405.153,43099.21799999999,44040.947,43794.068999999996,44301.9,49242.175,53839.323,56553.909,58738.25200000001,57139.50600000001,57555.009999999995,59396.151,60892.712,62795.899999999994,64588.001000000004,67667.21500000001,65226.710999999996,65987.63,65342.38100000001,69190.269,69281.81000000001,72872.283,76526.708,73878.18500000001,79707.54100000001,87874.33600000001,94327.369,105243.474,111982.565,130409.298,136137.584,148579.88000000003,161986.74200000003,186265.8,201119.67100000003,214690.45099999997,229820.83599999998,242610.83500000002,259285.21099999998,277264.185
General Loan Loss Provisions,8170.637000000001,9004.677,10000.347000000002,10887.945,11732.455999999998,11505.365000000002,11014.133000000002,10897.670999999998,11414.634000000002,11951.335000000001,12750.423999999999,12156.556000000002,11720.117,11131.894,10682.690999999999,9654.481,10378.936000000002,11519.259,11475.317000000001,12400.661,12492.86,13794.597,14758.109000000002,14048.266000000001,14286.262,13948.115000000002,14620.983,16543.391,16741.749,17795.719999999998,19811.993000000006,21857.493,23093.588,23602.855999999996,24483.733999999997,25845.192,27591.949000000004,28199.590000000004,28802.600000000002,29842.331000000002,29958.572999999997,31120.476,32831.765999999996,34729.478,34151.496,33741.301,35198.668,34738.412,38559.176,45936.393000000004,42740.427,39471.837999999996,41697.866,45046.34399999999,48136.8,51200.99999999999
Investment Properties,896.417,466.844,831.744,708.279,708.642,708.339,872.668,871.573,981.423,1052.313,1051.204,951.475,922.084,920.937,689.049,616.89,592.936,631.491,595.655,594.417,593.097,593.916,585.471,469.678,510.574,509.252,697.658,693.938,691.989,575.606,573.646,572.356,570.635,575.637,583.03,587.963,602.363,3620.453,3427.198,3426.361,3508.928,4592.252,4591.411,4483.375,4482.543,4306.098,4275.988,4364.495,4370.795,4340.095,4309.062,4280.442,4248.605,4218.085,4185.552,2894.293
Fixed Assets (net),37097.491,37364.251,38849.437,38751.576,39422.216,39272.896,39713.861,38932.296,38899.249,38607.099,39411.21,42456.997,43132.559,43594.366,44831.896,52104.762,52276.996,52380.033,52823.721,56154.811,56314.928,57251.443,58094.13,59699.282,66430.837,67705.971,69418.107,70182.831,71968.13,76838.659,76866.544,81827.79,81768.727,82404.695,83090.074,88117.543,91213.299,90049.277,93251.751,99795.057,111680.563,111685.671,112893.379,126629.022,125855.596,128665.081,130121.972,135710.036,146550.607,148025.304,148087.55,147859.035,156435.179,155276.933,159810.903,167391.575
Other Assets,83833.99718920008,68923.50741999966,84572.9232547,69529.33651620008,75905.7320028001,78936.40761475996,81657.54736019982,71399.93287139985,72468.26869939992,79633.63166619955,85336.28056940029,66730.59635200008,70807.60298830052,83843.57123449963,84688.63613600034,84522.66240810066,122828.94151319987,138629.4207000008,144262.7572779997,134689.20495120075,141397.28809279937,159008.1371202005,180471.67961230015,178788.24421900132,153509.26645279987,159804.78023739788,146077.41616799973,153550.6922180018,142247.98559999833,155620.7999000001,160240.82498889038,152500.60848600016,151225.9720999996,154048.20749999996,175736.5914066977,182488.00380000105,184545.90643800003,192397.9032799988,204805.67364800075,203564.27573520094,214600.96135499925,224106.38576359904,243069.1968092965,272284.5593612016,260631.10438738897,265594.58618400013,294281.0658063972,294451.00241600117,307377.10213239933,356715.8020643976,336251.47715359903,304149.79540119786,303994.0099153016,335681.79679040157,350811.61646410084,380694.4196481321


Licensed Specialised Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Assets, Rs. Mn",2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021*,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Total Assets,413720.50499999995,422060.002,433588.914,437535.55,453890.56499999994,468998.542,490564.05399999995,506671.64499999996,522775.90499999997,540901.1429999999,553210.645,575955.99,592761.2430000001,609380.2939999999,627156.9,673736.649,675365.638,695399.9060000001,708827.945,742531.5800000001,771034.525,787523.906,893477.605,919325.2819999999,943382.357,964440.416,1022717.8269999999,1087471.725,1103898.4530000002,1144985.553,1172555.9940000002,1103174.0110000002,1120525.4559999998,1140001.71,1166652.193,1203245.119,1224343.4660000002,1278927.042,1329524.097,1366205.8750000002,1406548.279,1444806.66,1379726.341,1421584.8469999998,1453035.7320000003,1482854.1479999998,1505338.0450000004,1578700.01,1628689.657,1679256.0489999999,1749779.994,1837444.9330000002,1933125.424,1982516.096,2059947.2070000002,2103018.893
Cash and Due From Banks,10201.169999999998,11537.198,17317.510000000002,15949.187600000001,16182.966,16343.256999999998,19632.978,18082.252,17978.85,22316.397,24768.321999999996,26796.533,21270.939,23399.841,25682.352000000003,38348.411,27521.342,30736.59,41355.522,42914.235,48707.066,50086.029,51950.728,58314.617,63208.545,65799.45199999999,67648.04,68327.162,66366.129,69782.193,83322.029,70521.999,73393.365,81241.829,67557.465,84349.837,81809.98000000001,90890.867,96064.337,98719.898,103998.956,107025.475,85746.874,89204.941,95316.20799999998,102966.888,99256.97099999999,108918.548,125253.093,130566.48799999998,132346.22400000002,123387.15999999999,123931.769,126294.13,138831.905,122776.22200000001
Investments,214708.081,218083.97300000003,218777.69900000002,225406.78,238449.76200000002,245225.80899999998,266102.41799999995,282124.75,291355.268,299075.7139999999,312853.15599999996,319727.0860000001,341474.90499999997,339999.34500000003,338381.027,343867.383,343640.338,346438.853,343840.15,352982.45600000006,364878.66900000005,374318.727,472378.608,477137.231,487156.92600000004,493108.2,535404.7719999999,539713.8509999999,544068.15,559773.7500000001,539381.832,534610.159,536744.127,525968.2540000001,543261.888,535396.537,532385.2910000001,549025.577,563370.932,568634.4140000002,580124.267,590992.1570000001,537810.117,542983.3350000001,556181.485,568513.0929999999,588597.0419999999,630943.4729999999,659023.1529999998,705248.872,739788.576,845181.9979999999,886532.4119999999,916449.5179999999,951360.999,978350.679
Investments - Held for Trading,7099.133000000001,8175.553,8240.689,5228.356,4121.5830000000005,6772.259,10003.231,7687.449,7853.875999999999,10957.086000000001,22872.507,17644.337000000003,16307.048,14030.679,13466.064,14530.24,13584.078999999998,13434.151,14854.664999999999,13995.992,13319.48,15910.3,13914.931,20761.98,15745.357,19546.564000000002,14484.8,12164.955,13430.731000000002,12643.045,12806.538999999999,18590.074000000004,17437.885,21616.135,33040.894,27243.004999999997,24745.47,26878.71,25318.067,13684.918000000001,12641.421,18084.645,23162.748,28094.293,28535.899,13453.229000000001,11061.511,17942.829999999998,10599.716,19973.151,23882.988999999998,30740.954,34202.115999999995,27850.242,27089.447999999997,33283.983
Investments - Held to Maturity,200811.576,203432.69900000002,204126.00300000003,213705.57499999998,227917.178,232087.358,249995.49499999997,268325.30299999996,276779.079,285380.488,287370.06,299456.15900000004,322541.268,322009.418,320951.78599999996,325391.333,326110.4490000001,329054.346,325035.129,335036.10800000007,347608.833,354467.204,454522.45399999997,450221.418,465257.736,467407.80299999996,514777.13899999997,521406.06299999997,524494.586,540989.5520000001,520434.13999999996,515870.085,519156.24199999997,504202.11899999995,510070.994,508003.532,507489.821,521246.86699999997,537152.865,554049.496,566582.8460000001,572007.5120000001,513747.369,513189.042,525945.586,553359.8640000001,575835.5310000001,608189.643,643612.4369999999,680458.558,711088.424,809623.8809999999,847513.1329999999,883782.113,919454.3880000002,940249.5330000002
"Investments in Subsidiaries, Associates and Joint ventures",6004.392,6004.392,5989.396,5989.396,5989.396,5989.396,5976.896,5745.549,5745.549,2610.589,2610.589,2626.59,2626.589,3959.248,3963.177,3945.81,3945.81,3950.356,3950.356,3950.356,3950.356,3941.223,3941.223,6153.833,6153.833,6153.833,6142.833,6142.833,6142.833,6141.153,6141.153,150,150,150,150,150,150,900,900,900,900,900,900,1700,1700,1700,1700,4811,4811,4817.163,4817.163,4817.163,4817.163,4817.163,4817.163,4817.163
Net Loans and Advances (a),168720.36200000002,170954.69,175153.015,172933.862,176767.395,181024.91799999998,182734.91800000003,183518.685,189757.707,193134.228,192698.17599999998,204782.11199999996,206111.854,218779.771,237180.197,266019.245,278501.36799999996,291103.385,298547.80000000005,312596.78300000005,320236.543,321240.804,324321.623,340486.018,349564.382,357742.50200000004,378808.10000000003,432717.0659999999,451176.971,471688.84599999996,505059.12100000004,451240.6920000001,464091.74400000006,480739.279,502195.71199999994,526117.814,553401.687,572441.014,606708.19,631190.8030000001,647556.828,662924.738,677120.91,701353.187,720088.6520000001,724860.0170000001,730649.067,743788.645,753174.8649999999,734441.0590000001,778894.411,781373.9649999999,834656.283,839651.315,867966.8749999999,898977.588
Gross Loans and Advances(b),171342.364,173766.76499999998,178297.381,178203.51200000002,182130.36699999997,186608.367,188276.39500000002,189467.51399999997,195820.92599999998,199433.536,199431.12399999998,211170.847,212501.169,225023.146,243553.84999999995,272053.332,284617.11899999995,297191.53200000006,304617.86,318644.20900000003,325752.9770000001,326915.89300000004,330398.154,347116.712,356257.79400000005,364810.522,386155.2949999999,440670.263,458591.59899999993,479206.192,512889.82300000003,456960.92299999995,469446.64400000003,487843.8389999999,509413.40099999995,533229.8690000001,560802.8060000001,580323.721,615104.1429999999,639706.4030000002,656519.848,672753.73,687615.6710000001,712510.5350000001,732152.9110000002,738360.611,745378.143,760056.5380000002,771044.7239999999,752692.041,798271.571,801650.3870000001,855946.6490000001,863280.156,893674.085,925167.5339999999
o/w Gross LKR Loans(c),157399.218,167342.82200000001,171810.672,177204.82700000002,181423.522,186084.388,187888.902,188010.701,191047.766,190415.49999999997,198356.104,209101.95799999998,210428.49699999997,223081.968,241687.8,269728.549,282292.336,294598.946,301962.466,315618.90900000004,322519.76800000004,323043.624,326544.86,340743.586,347741.89300000004,354391.352,374891.692,426257.15599999996,442018.40599999996,461315.45700000005,494916.089,441446.42100000003,453089.819,470816.26399999997,492844.6049999999,513251.856,533702.462,552229.1410000001,587829.365,611624.652,628774.1140000001,643143.684,670361.31,693207.32,716068.713,724167.995,732620.9709999999,748608.599,760919.075,744155.436,791483.301,796755.9299999999,851960.0830000001,860911.0819999999,891867.335,923360.7840000001
Gross FCY Loans(d),14791.104,7271.045,7349.326,1914.665,1947.7489999999998,1830.833,1722.058,2353.558,2350.786,4786.357999999999,1911.633,2068.889,2072.672,1941.1779999999999,1866.05,2324.783,2324.783,2592.586,2655.394,3025.3,3233.209,3872.269,3853.294,6373.126,8515.901,10419.17,11263.603,14413.107,16573.193,17890.735,17973.734,15514.502,16356.825,17027.575,16568.796,19978.013,27100.344,28094.58,27274.778,28081.751,27745.734,29610.046,17254.361,19303.215,16084.198,14192.616,12757.172,11447.939,10125.649,8536.605,6788.27,5384.601,3986.566,2369.074,1806.75,1806.75
Gross Non-performing Advances(e),11873.262000000002,12782.082000000002,14220.281000000003,15875.287,17799.958999999995,19625.193,20349.681,19684.857,19778.405000000002,20877.6,19756.680999999997,16730.767999999996,18649.942000000003,19516.176999999996,19434.868,18434.869999999995,19551.603,19147.077999999998,20260.424,20386.881,25481.22,29395.765999999996,34628.122,32135.802000000003,38455.564,45485.299,45121.73200000001,41946.344,42340.30300000001,42686.737,38749.587999999996,29440.309999999998,28349.435,26894.597,25825.434999999998,24035.744,26316.939,25949.287000000004,28219.196999999996,27362.570000000003,32022.114,33814.208000000006,35122.708,33923.801999999996,38175.028,41971.559,46551.475999999995,42141.699,50724.047,53297.432,55784.814,55213.232,56116.65099999999,77785.04299999999,69962.618,59819.937999999995
Net Non-perfroming Advances(f),9915.828,10707.944999999998,11948.942,13390.672000000002,13544.928000000002,16875.441000000003,17589.263000000003,16634.36,16619.045000000002,17762.201999999997,16191.536,11880.204,13839.512,14745.024999999998,14478.410999999998,13746.164,14836.809000000001,14497.163,15681.804,15846.248,20935.422999999995,24718.544,29572.35,26609.217999999997,32928.635,39698.659,39159.554000000004,35659.381,36715.546,37064.292,32929.31599999999,25488.291,24853.453999999998,21748.902000000002,20650.442000000003,19076.215000000004,21305.78,20583.836,22399.244,21514.454,25774.737999999998,26761.236999999997,27465.96,25683.889000000003,29069.137000000002,31457.708,34835.019,28952.351000000006,35964.066000000006,38088.856,39653.943,38154.384000000005,38329.794,57682.506,47891.884999999995,37384.182
Total Loan Loss Provisions,2622.002,2812.075,3144.366000000001,5269.65,5362.972,5583.449,5541.477000000001,5948.829,6063.219000000001,6299.308,6732.947999999999,6388.735,6389.315,6243.375,6373.653,6034.087,6115.751,6088.147,6070.0599999999995,6047.426,5516.434,5675.089,6076.531,6630.6939999999995,6693.411999999999,7068.02,7347.195,7953.196999999999,7414.6280000000015,7517.346,7830.701999999999,5720.231,5354.9,7104.5599999999995,7217.689,7112.055,7401.119000000001,7882.7069999999985,8395.953000000001,8515.6,8963.02,9828.992,10494.761,11157.348000000002,12064.259,13500.594000000001,14729.076000000001,16267.893,17869.859,18250.982,19377.16,20276.422,21290.366,23628.841,25707.21,26189.946
o/w Specific Loan Loss Provisions,1957.434,2074.1369999999997,2271.339,2484.615,4255.031,2749.752,2760.4179999999997,3050.4970000000003,3028.037,3175.6549999999997,3661.7689999999993,4850.564,4810.429999999999,4771.152,4956.457,4688.706,4714.794,4649.915000000001,4578.619999999999,4540.633,4545.7970000000005,4677.222,5055.772,5526.584,5526.929,5786.64,5962.178,6286.963,5624.757,5622.445,5820.272,3952.0189999999993,3495.981,5145.695,5174.993,4959.529,5011.159000000001,5365.451,5819.9529999999995,5848.116,6247.376,7052.971,7656.748,8239.913,9105.891,10513.851,11716.457,13189.348,14759.981,15208.576000000001,16130.871,17058.847999999998,17786.857,20102.536999999997,22070.733,22435.756
General Loan Loss Provisions,664.568,737.938,873.027,2785.035,1107.941,2833.697,2781.059,2898.3320000000003,3035.1820000000002,3123.653,2969.3819999999996,1538.1709999999998,1578.885,1472.223,1417.1960000000001,1345.381,1400.9569999999999,1438.232,1491.44,1506.7930000000003,970.637,997.867,1020.7589999999999,1104.1100000000001,1166.4830000000002,1281.3799999999999,1385.0169999999998,1666.234,1789.8709999999999,1894.901,2010.4299999999998,1768.212,1858.9189999999999,1958.8649999999998,2042.6960000000001,2152.526,2389.96,2517.2560000000003,2576,2667.484,2715.6440000000002,2776.021,2838.013,2917.435,2958.368,2986.7430000000004,3012.619,3078.545,3109.878,3042.406,3246.289,3217.574,3503.509,3526.304,3636.477,3754.19
Investment Properties,6.5,6.5,6.5,6.5,211.513,183.862,282.661,6.5,6.5,6.5,6.5,0,6.5,0,0,6.56,6.56,6.56,83.275,83.275,822.237,808.334,803.7,795.902,888.755,887.505,881.405,881.405,861.209,861.209,861.209,859.509,859.63,868.26,855.62,843.97,1190.941,1183.39,1172.581,1163.205,1164.685,1155.404,1151.426,1213.315,1220.386,1235.958,1235.958,1253.315,1253.315,1253.315,1253.315,1350.315,1253.577,1253.577,1253.577,1275.577
Fixed Assets (net),3747.318,3846.888,3988.96,4733.694,5032.321,5212.086,5367.692,5628.827,5906.416,6003.837,6621.583,7661.753,7821.755,8016.216,8021.75,8051.854,8044.551,8212.113,7727.88,7770.088,7831.423,7772.464,7816.411,7830.89,8233.918,8187.618,8214.523,8123.233,8192.984,8294.04,8429.761,8221.861,9503.044,9697.234,9909.666,9934.544,10221.374,10413.149,10717.953,10898.649,15603.807,16041.262,16306.08,16419.979,16453.021,16847.565,16925.708,17194.506,17374.541,17298.008,17647.834,17352.189,19465.599,19515.229,19381.923,19551.456
Other Assets,16337.073999999935,17630.752999999975,18345.229999999945,18505.52639999999,17246.607999999924,21008.610000000077,16443.386999999962,17310.630999999983,17771.164000000015,20364.467000000004,16262.90800000004,16988.505999999845,16075.290000000157,19185.120999999825,17891.57400000008,17443.196000000044,17651.47900000014,18902.405000000093,17273.31799999988,26184.74299999997,28558.586999999974,33297.54799999996,36206.53499999995,34760.62399999991,34329.830999999904,38715.13899999987,31760.98699999998,37709.0080000003,33233.01000000021,34585.51500000002,35502.04199999999,37719.79100000014,35933.54599999974,41486.85399999999,42871.84199999991,46602.41699999986,45334.193000000145,54973.0449999998,51490.104000000036,55598.90599999989,58099.73600000012,66667.62399999969,61590.933999999936,70410.08999999962,63775.980000000105,68430.62699999979,68673.29900000055,76601.52300000016,72610.69000000009,90448.30699999988,79849.63400000005,68799.30600000052,67285.78400000007,79352.32700000014,81151.9280000003,82087.3710000001


Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Loans and Advances net of interest in suspense and total provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b)Gross loans & advances includes gross non-performing and gross performing loans advances net of interest in suspense ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(c)Gross LKR advances includes gross non-performing and performing LKR loans and advances net of interest in suspenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(d)Gross FCYadvances includes gross non-performing and performing FCY loans and advances net of interest in suspenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(e)Non performing loans net of interest in suspense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(f)Non performing loans net of interest in suspense and specific provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Provisional Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

<new sheet>
sheet_name: NPL Classification

Banking Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Classification of NPLs, %",2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021*,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Special Mentioned,22.97872276531335,27.633786544102044,24.340057541994813,33.49454786415052,26.359239497673105,26.17247053516607,20.837647821240537,17.840636495639277,25.320170969136456,19.181130112715724,17.600775646892533,15.64216975452446,18.904167953135083,19.614259295594998,16.976459473708257,13.09041420929825,16.599999419232773,15.698678565574001,16.613357232169545,15.46361698201357,20.310030669500726,20.84310050604637,20.712940374939034,16.831083150912267,20.27878516747083,21.486162735149165,18.014728797244462,14.425606691488877,18.455490189834983,16.955348756201186,14.140591914600476,12.626865154424435,15.799232421730705,16.318663838872666,16.353968056184005,15.092894517146386,17.381737996074804,18.0410394919475,17.52460174262697,15.28075546217315,23.876435328104286,23.266013775520996,22.762648973734482,18.754996222994674,24.66732240122587,21.953992116119355,18.257860769940557,14.806269627870286,17.442023152686392,12.865447021110949,11.886317426742401,10.261577537738518,10.163482128779485,15.46451062125871,12.725405066438489,8.991824684992132
Substrandard,11.209645627418329,12.052738513662428,17.848955145148597,15.034101441433268,16.276083491278186,17.828129563148938,22.19753083563879,21.656274340150123,11.633914750628149,11.908644835950403,14.411145306469814,10.447318321038477,9.53544056759365,9.795552251699304,10.518790262687737,8.003227101020839,8.247486454576359,10.134565135309174,10.468642501488173,9.43470725183415,8.71829023605971,11.864224603831039,13.951619376454053,15.106137717546009,12.137943471772372,15.25539159729376,18.36447724480793,14.856923903932225,10.55556555820527,12.189772451132889,13.388612934270272,10.594999376997304,8.477657502876125,10.486036693801845,11.17982173048957,9.829828359739635,9.605299408989849,12.490464833472197,14.686835983234964,12.515049759552275,11.262828033447011,17.134253430567973,19.491455303901834,18.323691118428396,17.19049380585113,21.94857902400771,22.41775359677983,17.835599470847406,14.607257110333466,18.9355725480254,16.385863135885735,9.80565559161935,8.244154121144215,8.54711535051893,9.558462890502062,9.341190573883402
Doubtful,12.159941660758268,10.389845931062682,8.475355921120325,8.154938402189611,10.539896279366767,10.391801997450795,10.447962388686946,13.040132734527349,17.335073537475385,12.749947255029412,11.763259805765367,11.213992469526826,9.418763946131026,7.001772343153013,4.060339572751027,8.356842981705558,7.982889965124125,5.3080339539811545,4.741830286506447,7.562218648758409,7.454953458369011,5.669833946648452,4.671235530299667,8.36073848084795,9.046876364463545,7.719520696101066,7.12033176804949,10.076698448531262,10.664631707771017,7.535590806173645,6.212207385528308,9.04538870463631,9.692212439187196,5.458959519369632,4.7138183840255135,6.850498028115528,7.4268872476271435,5.875424801744916,5.644338272159148,8.56277034528294,8.904396642599039,7.1151498110200775,8.728768719082982,11.718566316762127,13.338780867255458,12.562161655619011,13.481565439679263,16.772311155427065,17.304435522595043,14.207379883934044,13.110576029727799,15.577171221130797,13.25522272508264,7.714732183826873,8.059742314923737,8.731966763689423
Loss,53.65168994651006,49.92354169727297,49.33563139173627,43.31633802741377,46.82478073168193,45.60759790423419,46.51685895443373,47.46295642968325,45.71084074276002,56.16027779630445,56.22481924087229,62.696519454910224,62.14162820739515,63.588415443476606,68.44440951676312,70.54951570797535,67.16962647326555,68.85872177742549,68.1761689042691,67.53945766110373,63.51672612379977,61.622781645485425,60.664204718307246,59.702040650693775,58.536394996293254,55.53892497145602,56.500462189898116,60.64077095604763,60.32431254418873,63.31928724578285,66.25858776560094,67.73274676394195,66.03089763620598,67.73633994795586,67.75239182930092,68.22677909499846,65.58595166955116,63.593071664103164,62.14422400197891,63.641424432991634,55.95633999584967,52.48458390735499,49.0171280974916,51.20274634181481,44.80340292566754,43.53526678912913,45.842820193600346,50.58581974585524,50.6462842143851,53.99157047761381,58.61724356477157,64.35559564951133,68.33714102499367,68.27364184439548,69.65638972813572,72.9350482926216


Licensed Commercial Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Classification of NPLs, %",2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021*,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
