<new sheet>
sheet_name: Assets

Banking Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Assets, Rs. Mn",2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021*,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Gross FCY Loans(d),360945.109,379509.021,326532.975,327212.43899999995,300328.162,273815.56954999996,272043.36942515004,280747.4603213,301083.39258292504,296989.72900000005,299281.391,339967.461648,352338.97901169996,386597.7357655,384083.99286399997,450997.09559190006,502137.14248680003,565505.4553,559051.992722,559204.9470488001,594015.3079072,597984.1668797999,607425.6123877,623210.565781,616184.3105471999,651244.4577626,703991.005832,816900.384782,842458.3164,856751.1851,894266.3009891085,937459.8115140001,937239.1119,923514.0565000001,919605.5705933,1005052.8012000001,1089558.9395619999,1152526.4837200001,1140779.1861065,1177265.9032647999,1270349.761645,1315511.1222364001,1400063.4041907,1536475.9676388002,1479145.9036126107,1500763.552816,1582721.5511935998,1634937.6915840001,1869003.2238676,1836919.6119355997,1821680.2378464004,1799993.3055988003,1884814.2740846998,1931272.7852095999,1911090.2385359001,1907789.7703518663
Gross Non-performing Advances(e),87310.17600000002,96276.687,101058.184,103270.58700000003,124632.74899999997,138515.34155,140516.17542515002,135579.3743213,138821.742582925,128192.55300000001,119875.659,107043.921,111900.06599999999,108956.581,106381.60999999996,99297.26300000002,108486.077,112449.44199999998,121059.00799999997,116635.36800000003,137127.22600000002,153144.102,172261.74699999997,191032.59799999997,211295.195,212291.96600000001,189702.30099999998,165473.55,176684.369,182028.79000000004,178748.504,152811.73200000002,153018.96400000004,150456.57799999998,150390.97500000006,142348.93399999998,156001.145,163029.179,169331.57700000005,160672.205,200977.06899999996,227637.38599999997,263065.721,263146.1099999999,323868.00800000003,366195.014,386771.192,381688.284,433721.108,466888.6780000001,473343.13599999994,448061.823,449242.116,499969.9779999999,498868.068,468148.5619999999
Net Non-performing Advances(f),43370.87400000001,51244.091,55455.793000000005,54097.06999999999,72898.43900000001,85057.23655000002,87761.85342515001,77538.6233213,80566.45858292501,78961.341,71342.033,58521.926999999996,64168.097,62161.168999999994,59966.31299999999,53610.897,61366.13,64700.30900000001,72439.441,68300.66600000001,88279.529,99224.70499999999,113366.652,128952.105,147030.014,149365.82,126185.11300000001,99790.436,110166.9,113610.445,108340.231,81192.498,84296.272,79323.253,79873.601,68199.13600000001,81708.17599999999,84791.44499999999,86984.916,80945.90400000001,115022.152,132710.079,161081.604,149662.723,202779.55199999997,225271.865,238917.15099999998,219919.05599999995,256974.385,265414.302,256092.594,216312.52400000003,201634.42300000004,237256.60599999997,217512.124,168448.621
Total Loan Loss Provisions,52774.507,54775.211,56475.76500000001,62846.497,64574.707,67797.167,66549.51400000001,71836.75399999999,72573.77699999999,64366.456999999995,64451.852999999996,62216.721,61030.971,59399.528999999995,58515.184,56686.228,58899.84,60706.62399999999,61586.324,62242.156,62311.194,68711.861,74673.963,77232.869,79717.926,78155.641,79523.188,83892.739,85049.089,88108.966,92230.696,95244.939,93675.199,96695.046,97043.80399999999,102147.516,104274.878,108954.57999999999,113725.261,112236.11600000001,118629.134,128823.804,137653.896,151130.3,158198.32,177651.19300000003,186065.328,199586.18500000003,218415.77699999994,250453.17500000002,263237.258,274438.711,292809.06799999997,311286.01999999996,333129.2210000001,354655.13099999994
o/w Specific Loan Loss Provisions,43939.301999999996,45032.596000000005,45602.390999999996,49173.517,51734.310000000005,53458.105,52754.322,58040.751000000004,58123.960999999996,49291.469,48630.25,48521.994000000006,47731.969000000005,46795.412,46415.297,45686.365999999995,47119.947,47749.132999999994,48619.566999999995,48334.702,48847.697,53919.397000000004,58895.094999999994,62080.493,64265.18100000001,62926.14600000001,63517.187999999995,65683.114,66517.469,68418.345,70408.273,71619.23400000001,68722.692,71133.32500000001,70517.37400000001,74149.798,74292.96900000001,78237.734,82346.661,79726.301,85954.91700000002,94927.30700000002,101984.117,113483.387,121088.456,140923.149,147854.041,161769.22800000003,176746.72300000003,201474.376,217250.54200000002,231749.29899999997,247607.69299999997,262713.37200000003,281355.94399999996,299699.941
General Loan Loss Provisions,8835.205,9742.615,10873.374000000002,13672.98,12840.396999999999,14339.062000000002,13795.192000000003,13796.002999999999,14449.816000000003,15074.988000000001,15719.805999999999,13694.727000000003,13299.002,12604.117,12099.886999999999,10999.862,11779.893000000002,12957.491,12966.757000000001,13907.454,13463.497000000001,14792.464,15778.868000000002,15152.376000000002,15452.745,15229.495,16006,18209.625,18531.62,19690.621,21822.423000000006,23625.704999999998,24952.506999999998,25561.720999999998,26526.429999999997,27997.718,29981.909000000003,30716.846000000005,31378.600000000002,32509.815000000002,32674.216999999997,33896.496999999996,35669.778999999995,37646.913,37109.864,36728.044,38211.287,37816.956999999995,41669.054,48978.799000000006,45986.716,42689.412,45201.375,48572.64799999999,51773.277,54955.189999999995
Investment Properties,902.917,473.344,838.244,714.779,920.155,892.201,1155.329,878.073,987.923,1058.813,1057.704,951.475,928.584,920.937,689.049,623.45,599.496,638.051,678.93,677.692,1415.334,1402.25,1389.171,1265.58,1399.329,1396.757,1579.063,1575.343,1553.198,1436.815,1434.855,1431.865,1430.265,1443.897,1438.65,1431.933,1793.304,4803.843,4599.779,4589.566,4673.613,5747.656,5742.837,5696.69,5702.929,5542.056,5511.946,5617.81,5624.11,5593.41,5562.377,5630.757,5502.182,5471.662,5439.129,4169.87
Fixed Assets (net),40844.809,41211.139,42838.397,43485.27,44454.537,44484.982,45081.553,44561.123,44805.665,44610.936,46032.793,50118.75,50954.314,51610.582,52853.646,60156.616,60321.547,60592.146,60551.601,63924.899,64146.351,65023.907,65910.541,67530.172,74664.755,75893.589,77632.63,78306.064,80161.114,85132.699,85296.305,90049.651,91271.771,92101.929,92999.74,98052.087,101434.673,100462.426,103969.704,110693.706,127284.37,127726.933,129199.459,143049.001,142308.617,145512.646,147047.68,152904.542,163925.148,165323.312,165735.384,165211.224,175900.778,174792.162,179192.826,186943.031
Other Assets,100171.07118920007,86554.26041999971,102918.15325470018,88034.8629161996,93152.34000279992,99945.01761475993,98100.93436020006,88710.56387139997,90239.4326994002,99998.09866620002,101599.1885694002,83719.10235199993,86882.8929883007,103028.69223449923,102580.21013600036,101965.85840810052,140480.4205131997,157531.82570000147,161536.0752780004,160873.94795120042,169955.87509279937,192305.68512020085,216678.21461230036,213548.8682190001,187839.09745279956,198519.91923739846,177838.40316799932,191259.70021800196,175480.99559999807,190206.31490000102,195742.86698889098,190220.39948600048,187159.51810000028,195535.06149999925,218608.43340669724,229090.42079999996,229880.0994380004,247370.94827999765,256295.777648001,259163.18173519976,272700.6973550003,290774.00976359996,304660.13080929697,342694.6493612012,324407.0843873919,334025.2131839996,362954.36480639706,371052.52541600354,379987.79213239945,447164.10906439833,416101.11115359515,372949.1014011993,371279.7939153043,415034.12379040103,431963.54446410213,462781.79064813314


Licensed Commercial Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Assets, Rs. Mn",2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021*,,,
