<new sheet>
sheet_name: LCBs
Bank and Branch Network of Licensed Commercial Banks by District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

District,,No. of Banks,,,,,,,,,,,,,,,,,,,,Branches (a),,,,,,,,,,,,,,,,,,,,Other Banking Outlets,,,,,,,,,,,,,,,,,,,,Total Branch & Banking Outlets,,,,,,,,,,,,,,,,,,,
,,2008,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,Q1 2022,Q2 2022,Q3 2022,Q4 2024,Q1 2023,Q2 2023*,2008,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,2008,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023*,2008,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023*
11,KANDY,7,7.0,8.0,8.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5,5,5,5,5,5,30,32.0,35.0,39.0,39.0,41.0,41.0,41.0,42.0,43.0,43.0,43.0,43.0,43.0,43,43,43,43,43,43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,29,30.0,33.0,35.0,35.0,35.0,35.0,41.0,45.0,46.0,43.0,43.0,43.0,43.0,43,43,43,43,43,43
12,KEGALLE,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5,5,5,5,5,5,29,30.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35,35,35,35,35,35,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,37,37.0,41.0,41.0,41.0,41.0,41.0,41.0,35.0,35.0,35.0,35.0,35.0,35.0,35,35,35,35,35,35
13,KILINOCHCHI,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,1,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3
14,KURUNEGALA,6,6.0,6.0,6.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,30,35.0,38.0,43.0,46.0,49.0,49.0,50.0,51.0,51.0,52.0,52.0,52.0,52.0,53,53,53,53,53,53,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,44,45.0,47.0,51.0,52.0,52.0,53.0,62.0,53.0,53.0,52.0,52.0,52.0,52.0,53,53,53,53,53,53
15,MANNER,1,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,1,2.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6,6,6,6,6,6,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,6.0,6.0,6.0,7.0,8.0,8.0,9.0,5.0,6.0,6.0,6.0,6.0,6.0,6,6,6,6,6,6
16,MATALE,4,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,12,12.0,12.0,13.0,14.0,14.0,15.0,15.0,15.0,16.0,17.0,17.0,17.0,17.0,17,17,17,17,17,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,12,12.0,12.0,13.0,14.0,14.0,15.0,15.0,15.0,16.0,17.0,17.0,17.0,17.0,17,17,17,17,17,17
17,MATARA,6,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6,6,6,6,6,6,31,34.0,35.0,35.0,36.0,37.0,37.0,38.0,39.0,39.0,40.0,40.0,40.0,40.0,40,40,40,40,40,40,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,42,44.0,44.0,44.0,45.0,46.0,46.0,47.0,43.0,43.0,40.0,40.0,40.0,40.0,40,40,40,40,40,40
18,MONARAGALA,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,11,13.0,17.0,18.0,18.0,19.0,20.0,20.0,21.0,21.0,21.0,21.0,22.0,22.0,22,22,22,22,22,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,11,12.0,16.0,17.0,17.0,17.0,17.0,20.0,21.0,21.0,21.0,21.0,22.0,22.0,22,22,22,22,22,22
19,MULATIVU,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2,2,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2,2,2,2
20,NUWARA ELIYA,4,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,13,13.0,15.0,15.0,15.0,17.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19,19,19,19,19,19,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,20,20.0,22.0,22.0,22.0,22.0,23.0,25.0,19.0,19.0,19.0,19.0,19.0,19.0,19,19,19,19,19,19
21,POLONNARUWA,5,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5,5,5,5,5,5,14,15.0,16.0,16.0,17.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19,19,19,19,19,19,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,22,23.0,25.0,25.0,25.0,26.0,26.0,26.0,19.0,19.0,19.0,19.0,19.0,19.0,19,19,19,19,19,19
22,PUTTALAM,6,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5,5,5,5,5,5,21,21.0,23.0,24.0,24.0,24.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26,26,26,26,26,26,30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,51,51.0,52.0,52.0,52.0,52.0,52.0,56.0,26.0,26.0,26.0,26.0,26.0,26.0,26,26,26,26,26,26
23,RATNAPURA,5,5.0,5.0,5.0,6.0,6.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,22,25.0,29.0,30.0,32.0,33.0,34.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,35,35,35,35,35,35,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,26,27.0,31.0,31.0,33.0,33.0,33.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35,35,35,35,35,35
24,TRINCOMALEE,2,2.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4,4,4,4,4,4,3,4.0,6.0,8.0,9.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10,10,10,10,10,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,2.0,5.0,6.0,6.0,6.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10,10,10,10,10,10
25,VAVUNIYA,2,2.0,3.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,3,3.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7,7,7,7,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,2.0,3.0,5.0,6.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7,7,7,7,7
Total,,,,,,,,,,,,,,,,,,,,,,461,505.0,568.0,608.0,632.0,658.0,657.0,674.0,686.0,694.0,699.0,700.0,704.0,705.0,706,706,706,706,706,706,175,175.0,175.0,175.0,175.0,175.0,175.0,175.0,28.0,28.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,680,714.0,775.0,799.0,812.0,820.0,827.0,849.0,714.0,722.0,699.0,700.0,704.0,705.0,706,706,706,706,706,706

Note: DFCC Bank (LSB) and DFCC Vardhana Bank PLC (LCB) amulgamated on 01.10.2015 and DFCC Bank PLC (LCB) was established.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(a) Banking Outlets except Student Savings Units and Mobile Banking Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,* Provisional Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

