<new sheet>
sheet_name: LCBs
Bank and Branch Network of Licensed Commercial Banks by District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

District,,No. of Banks,,,,,,,,,,,,,,,,,,,,Branches (a),,,,,,,,,,,,,,,,,,,,Other Banking Outlets,,,,,,,,,,,,,,,,,,,,Total Branch & Banking Outlets,,,,,,,,,,,,,,,,,,,
,,2008,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,Q1 2022,Q2 2022,Q3 2022,Q4 2024,Q1 2023,Q2 2023*,2008,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,2008,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023*,2008,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023*
11,KANDY,13,14.0,14.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,17.0,16.0,16.0,16.0,16,16,16,16,16,16,117,122.0,127.0,145.0,159.0,167.0,175.0,179.0,185.0,186.0,188.0,190.0,190.0,192.0,192,192,192,191,191,191,178,190.0,190.0,190.0,206.0,206.0,207.0,207.0,230.0,230.0,243.0,241.0,241.0,227.0,227,228,242,242,242,242,295,312.0,317.0,335.0,365.0,373.0,382.0,386.0,415.0,416.0,431.0,431.0,431.0,419.0,419,420,434,433,433,433
12,KEGALLE,9,10.0,10.0,10.0,10.0,10.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12,12,12,12,12,12,61,63.0,70.0,75.0,79.0,81.0,82.0,84.0,86.0,88.0,87.0,87.0,90.0,87.0,87,87,87,87,87,87,112,122.0,122.0,122.0,122.0,122.0,122.0,122.0,95.0,93.0,113.0,134.0,134.0,131.0,131,131,134,134,134,134,173,185.0,192.0,197.0,201.0,203.0,204.0,206.0,181.0,181.0,200.0,221.0,224.0,218.0,218,218,221,221,221,221
13,KILINOCHCHI,2,2.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8,8,8,8,8,8,4,4.0,7.0,16.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19,19,19,19,19,20,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.0,4.0,8.0,9.0,9.0,9.0,9,9,9,9,9,11,14,14.0,17.0,26.0,28.0,28.0,28.0,28.0,23.0,23.0,27.0,28.0,28.0,28.0,28,28,28,28,28,31
14,KURUNEGALA,13,13.0,13.0,14.0,14.0,14.0,14.0,14.0,15.0,13.0,13.0,13.0,13.0,13.0,13,13,13,13,13,13,112,114.0,122.0,137.0,141.0,145.0,152.0,154.0,157.0,157.0,161.0,162.0,163.0,163.0,163,163,163,163,163,164,168,181.0,181.0,181.0,181.0,181.0,181.0,181.0,234.0,245.0,280.0,352.0,352.0,349.0,349,349,352,352,352,351,280,295.0,303.0,318.0,322.0,326.0,333.0,335.0,391.0,402.0,441.0,514.0,515.0,512.0,512,512,515,515,515,515
15,MANNER,3,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7,7,7,7,7,7,8,13.0,16.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19,19,19,19,19,19,15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,8.0,9.0,19.0,19.0,19.0,19.0,19,19,19,19,19,20,23,28.0,31.0,33.0,33.0,33.0,33.0,34.0,27.0,28.0,38.0,38.0,38.0,38.0,38,38,38,38,38,39
16,MATALE,8,8.0,9.0,9.0,9.0,10.0,10.0,12.0,12.0,11.0,11.0,11.0,12.0,12.0,12,12,12,12,12,12,41,42.0,46.0,50.0,54.0,55.0,55.0,56.0,56.0,56.0,57.0,58.0,59.0,59.0,59,59,59,59,59,59,99,99.0,99.0,99.0,114.0,114.0,114.0,114.0,114.0,116.0,93.0,94.0,94.0,90.0,90,90,94,94,94,94,140,141.0,145.0,149.0,168.0,169.0,169.0,170.0,170.0,172.0,150.0,152.0,153.0,149.0,149,149,153,153,153,153
17,MATARA,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0,12.0,12,12,12,12,12,12,67,75.0,77.0,84.0,90.0,94.0,98.0,100.0,102.0,103.0,104.0,104.0,104.0,104.0,104,104,105,105,105,105,120,120.0,120.0,120.0,121.0,121.0,121.0,121.0,91.0,93.0,95.0,111.0,111.0,108.0,108,108,111,111,111,111,187,195.0,197.0,204.0,211.0,215.0,219.0,221.0,193.0,196.0,199.0,215.0,215.0,212.0,212,212,216,216,216,216
18,MONARAGALA,7,7.0,8.0,8.0,8.0,9.0,10.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12,12,12,12,12,12,36,36.0,44.0,50.0,51.0,54.0,55.0,56.0,56.0,56.0,56.0,58.0,58.0,58.0,59,59,59,59,59,59,70,70.0,70.0,70.0,70.0,70.0,70.0,70.0,109.0,112.0,125.0,119.0,119.0,119.0,119,119,119,119,122,132,106,106.0,114.0,120.0,121.0,124.0,125.0,126.0,165.0,168.0,181.0,177.0,177.0,177.0,178,178,178,178,181,191
19,MULATIVU,2,2.0,2.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6,6,6,6,6,6,5,5.0,6.0,15.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22,22,22,22,22,22,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,21.0,21.0,21.0,21.0,21,21,21,21,21,27,12,12.0,13.0,22.0,27.0,29.0,29.0,29.0,24.0,24.0,43.0,43.0,43.0,43.0,43,43,43,43,43,49
20,NUWARA ELIYA,7,8.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,11.0,11.0,11.0,11.0,11.0,11,11,11,11,11,11,53,55.0,58.0,61.0,64.0,66.0,67.0,70.0,71.0,68.0,68.0,68.0,68.0,68.0,68,68,68,68,68,68,82,82.0,82.0,83.0,95.0,95.0,96.0,96.0,99.0,99.0,98.0,99.0,99.0,93.0,93,93,99,99,100,100,135,137.0,140.0,144.0,159.0,161.0,163.0,166.0,170.0,167.0,166.0,167.0,167.0,161.0,161,161,167,167,168,168
